"gameId","gameName","alternateNames","subcategory","level","description","playersMax","ageRange","duration","equipmentNeeded","objective","skillsDeveloped","setupTime","place","physicalIntensityLevel","educationalBenefits","category"
"17","Field Hockey","None","Team Sport","Beginner to Professional","A team sport where players use sticks to hit a ball into the opponent's goal.","22","8+","70 minutes","Hockey sticks; Ball; Goals; Protective gear","Score more goals than the opposing team.","Hand-eye coordination; Teamwork; Agility","15 minutes","Hockey field","High","Improves physical fitness, coordination, and teamwork","Outdoor Sports and Games"
"18","Lacrosse","None","Team Sport","Beginner to Professional","A team sport where players use a stick with a net to catch, carry, and pass a ball to score goals.","20","10+","60 minutes","Lacrosse stick; Ball; Goals; Protective gear","Score more goals than the opposing team by shooting the ball into their goal.","Hand-eye coordination; Agility; Teamwork","15 minutes","Lacrosse field","High","Enhances physical fitness, coordination, and teamwork","Outdoor Sports and Games"
"19","Golf","None","Individual Sport","Beginner to Professional","A sport where players use clubs to hit balls into a series of holes on a course in as few strokes as possible.","4","All ages","2-4 hours","Golf clubs; Golf balls; Tees","Complete the course in the fewest number of strokes.","Precision; Patience; Strategy","10 minutes","Golf course","Low to Moderate","Improves focus, strategic planning, and coordination","Outdoor Sports and Games"
"20","Cycling","None","Individual or Team Sport","Beginner to Professional","Riding bicycles for sport, recreation, or transportation.","Not specified","All ages","Variable","Bicycle; Helmet; Safety gear","Complete a course or reach a destination.","Endurance; Balance; Leg strength","Minimal","Roads, trails, tracks","Moderate to High","Promotes physical fitness, endurance, and environmental awareness","Outdoor Sports and Games"
"21","Track Running","None","Athletics","Beginner to Professional","Running races on a standard track over specified distances.","Not specified","All ages","Variable","Running shoes; Athletic wear","Complete the distance in the shortest time.","Endurance; Speed; Discipline","Minimal","Running track","High","Improves cardiovascular health, discipline, and goal-setting","Outdoor Sports and Games"
"22","Relay Races","None","Team Athletics","Beginner to Advanced","Teams of runners compete by passing a baton over a set distance.","Not specified","All ages","Variable","Baton; Running shoes; Athletic wear","Be the first team to finish by successfully passing the baton.","Teamwork; Speed; Coordination","Minimal","Running track","High","Promotes teamwork, coordination, and physical fitness","Outdoor Sports and Games"
"23","Tug of War","None","Team Game","Beginner","A contest in which two teams pull on opposite ends of a rope, each trying to pull the other over a center line.","Not specified","All ages","5-15 minutes","Strong rope","Pull the opposing team across the center line.","Strength; Teamwork; Coordination","5 minutes","Flat open area","Moderate","Encourages teamwork, strength, and coordination","Outdoor Sports and Games"
"24","Sack Race","None","Fun Race","Beginner","Participants race while standing in sacks, hopping toward the finish line.","Not specified","All ages","5-10 minutes","Sacks or burlap bags","Reach the finish line first while hopping in a sack.","Balance; Coordination; Agility","5 minutes","Flat open area","Moderate","Develops balance, coordination, and provides fun physical activity","Outdoor Sports and Games"
"25","Three-legged Race","None","Fun Race","Beginner","Pairs of participants tie one leg together and race to the finish line.","Not specified","All ages","5-10 minutes","Rope or band to tie legs","Work together to reach the finish line first.","Teamwork; Coordination; Communication","5 minutes","Flat open area","Moderate","Enhances teamwork, coordination, and communication skills","Outdoor Sports and Games"
"26","Disc Golf","Frisbee Golf","Precision Sport","Beginner to Advanced","Players throw a disc at a target using rules similar to golf.","Not specified","All ages","1-2 hours","Discs (Frisbees); Targets or baskets","Complete the course in the fewest number of throws.","Precision; Strategy; Coordination","5 minutes","Disc golf course","Low to Moderate","Improves focus, strategic planning, and coordination","Outdoor Sports and Games"
"27","Kite Flying","None","Recreational Activity","Beginner","Flying a kite in the wind for enjoyment.","Not specified","All ages","Variable","Kite","Keep the kite flying in the air.","Understanding of wind; Coordination","5 minutes","Open area with wind","Low","Promotes understanding of wind patterns and coordination","Outdoor Sports and Games"
"28","Scavenger Hunt","None","Group Game","Beginner","Teams or individuals search for specific items or solve clues to find them.","Not specified","All ages","Variable","List of items or clues","Find all items or complete tasks before others.","Problem-solving; Teamwork; Observation","15 minutes","Varied","Low to Moderate","Enhances problem-solving skills, teamwork, and observation","Outdoor Sports and Games"
"29","Geocaching","None","Outdoor Adventure","Beginner to Advanced","An outdoor treasure-hunting game using GPS-enabled devices to find hidden containers.","Not specified","All ages","Variable","GPS device or smartphone","Locate hidden caches using GPS coordinates.","Navigation; Problem-solving; Exploration","10 minutes","Various locations","Low to Moderate","Improves navigation skills and encourages exploration","Outdoor Sports and Games"
"30","Canoeing","None","Water Sport","Beginner to Advanced","Paddling a canoe with a single-bladed paddle.","Not specified","All ages","1 hour to full day","Canoe; Paddle; Life jacket","Navigate waterways for leisure or competition.","Upper body strength; Coordination; Navigation","15 minutes","Lakes; Rivers","Moderate","Promotes physical fitness and appreciation of nature","Outdoor Sports and Games"
"31","Surfing","None","Water Sport","Beginner to Professional","Riding waves on a surfboard.","Not specified","All ages","Variable","Surfboard; Wetsuit (optional)","Ride ocean waves standing on a surfboard.","Balance; Strength; Timing","15 minutes","Ocean with surfable waves","High","Enhances balance, physical fitness, and connection with nature","Outdoor Sports and Games"
"32","Snorkeling","None","Water Activity","Beginner","Swimming on or through water with a diving mask, snorkel, and fins.","Not specified","All ages","Variable","Mask; Snorkel; Fins","Observe underwater life while swimming at the surface.","Swimming skills; Observation; Relaxation","10 minutes","Clear bodies of water","Low","Promotes appreciation for marine life and relaxation","Outdoor Sports and Games"
"33","Skateboarding","None","Extreme Sport","Beginner to Professional","Riding and performing tricks using a skateboard.","Not specified","All ages","Variable","Skateboard; Protective gear","Perform tricks or ride from one point to another.","Balance; Coordination; Creativity","5 minutes","Skate parks; Streets","Moderate to High","Enhances balance, coordination, and encourages creativity","Outdoor Sports and Games"
"34","Rollerblading","Inline Skating","Recreational Activity","Beginner to Advanced","Gliding on surfaces with inline skates.","Not specified","All ages","Variable","Inline skates; Protective gear","Travel or perform tricks on skates.","Balance; Leg strength; Coordination","5 minutes","Paved paths; Skate parks","Moderate","Improves balance, coordination, and physical fitness","Outdoor Sports and Games"
"35","Horseback Riding","None","Equestrian Sport","Beginner to Professional","Riding horses for leisure, sport, or competition.","Not specified","All ages","Variable","Horse; Saddle; Helmet","Ride and control a horse.","Balance; Coordination; Animal handling","15 minutes","Trails; Equestrian centers","Moderate","Enhances balance, coordination, and empathy towards animals","Outdoor Sports and Games"
"36","Fishing","None","Recreational Activity","Beginner to Advanced","Catching fish using rods, lines, and bait.","Not specified","All ages","Variable","Fishing rod; Reel; Bait; Tackle","Catch fish for sport or food.","Patience; Hand-eye coordination; Relaxation","10 minutes","Lakes; Rivers; Oceans","Low","Promotes patience, relaxation, and appreciation for nature","Outdoor Sports and Games"
"37","Mountain Biking","None","Cycling Sport","Beginner to Professional","Off-road cycling over rough terrain using specially designed mountain bikes.","Not specified","All ages","Variable","Mountain bike; Helmet; Protective gear","Navigate trails and obstacles on a bike.","Endurance; Balance; Technical skills","10 minutes","Trails; Mountains","High","Improves physical fitness, technical biking skills, and environmental awareness","Outdoor Sports and Games"
"38","Parkour","None","Physical Discipline","Beginner to Advanced","Moving through environments by running, jumping, and climbing to overcome obstacles.","Not specified","All ages","Variable","Comfortable athletic wear; Supportive shoes","Navigate obstacles efficiently and fluidly.","Strength; Agility; Creativity","Minimal","Urban environments; Parks","High","Enhances physical fitness, problem-solving, and spatial awareness","Outdoor Sports and Games"
"39","Obstacle Course Racing","OCR","Adventure Sport","Beginner to Advanced","Running races that include various physical challenges and obstacles.","Not specified","All ages","Variable","Varies depending on obstacles","Complete the course overcoming all obstacles.","Strength; Endurance; Problem-solving","Varies (depending on setup)","Courses with obstacles","High","Promotes physical fitness, resilience, and teamwork","Outdoor Sports and Games"
"40","Paintball","None","Team Game","Beginner to Advanced","Players eliminate opponents by hitting them with dye-filled, breakable paintballs shot from a paintball gun.","Not specified","10+","Variable","Paintball marker (gun); Paintballs; Protective gear","Eliminate opponents or complete objectives without getting hit.","Strategy; Teamwork; Coordination","15 minutes","Paintball fields","Moderate to High","Enhances teamwork, strategic thinking, and coordination","Outdoor Sports and Games"
"41","Airsoft","None","Team Game","Beginner to Advanced","Similar to paintball but using replica firearms that shoot plastic pellets.","Not specified","10+","Variable","Airsoft guns; Pellets; Protective gear","Complete objectives or eliminate opponents without being hit.","Strategy; Teamwork; Coordination","15 minutes","Airsoft fields","Moderate to High","Promotes teamwork, strategy, and discipline","Outdoor Sports and Games"
"42","Dodgeball","None","Team Game","Beginner","Players try to hit opponents with balls while avoiding being hit themselves.","Not specified","6+","Variable","Rubber balls","Eliminate all players on the opposing team by hitting them with balls.","Agility; Reflexes; Teamwork","5 minutes","Gymnasium; Open area","Moderate","Improves agility, coordination, and teamwork","Outdoor Sports and Games"
"43","Bocce Ball","None","Precision Sport","Beginner to Advanced","Players attempt to throw balls closest to a smaller target ball.","Not specified","All ages","1-2 hours","Bocce balls; Pallino (target ball)","Score points by having balls closer to the pallino than your opponent.","Precision; Strategy; Coordination","5 minutes","Bocce court; Flat surface","Low","Enhances precision, strategy, and social interaction","Outdoor Sports and Games"
"44","Croquet","None","Lawn Game","Beginner to Advanced","Players hit balls through hoops using a mallet.","Not specified","All ages","1-2 hours","Mallets; Balls; Hoops; Stakes","Be the first to navigate the course and hit the finishing stake.","Strategy; Precision; Coordination","10 minutes","Grass lawn","Low to Moderate","Improves precision, strategy, and coordination","Outdoor Sports and Games"
"45","Horseshoes","None","Lawn Game","Beginner","Players throw horseshoes aiming to encircle a stake.","Not specified","All ages","Variable","Horseshoes; Stakes","Score points by throwing horseshoes closest to or encircling the stake.","Precision; Coordination; Aim","5 minutes","Flat open area","Low","Enhances precision, coordination, and provides leisurely activity","Outdoor Sports and Games"
"46","Lawn Bowling","Bowls","Precision Sport","Beginner to Advanced","Players roll biased balls so that they stop close to a smaller ball called a jack.","Not specified","All ages","1-2 hours","Bowls (balls); Jack (target ball)","Score points by getting bowls closer to the jack than the opponent.","Precision; Strategy; Coordination","5 minutes","Bowling green","Low","Improves precision, strategy, and social interaction","Outdoor Sports and Games"
"47","Quidditch (Muggle Version)","None","Team Sport","Beginner to Advanced","A mixed-gender contact sport adapted from the fictional game in Harry Potter.","Not specified","All ages","30-60 minutes","Brooms; Balls (Quaffle, Bludgers, Snitch); Hoops","Score more points than the opposing team by scoring goals and catching the snitch.","Teamwork; Strategy; Physical fitness","15 minutes","Open field","Moderate to High","Encourages teamwork, creativity, and physical activity","Outdoor Sports and Games"
"48","Slacklining","None","Balance Sport","Beginner to Advanced","Balancing on a suspended length of flat webbing tensioned between two anchors.","Not specified","All ages","Variable","Slackline kit","Walk and perform tricks on the slackline without falling off.","Balance; Focus; Core strength","10 minutes","Between two sturdy anchor points","Moderate","Improves balance, concentration, and core strength","Outdoor Sports and Games"
"49","Frisbee Golf","Disc Golf","Precision Sport","Beginner to Advanced","Players throw a disc at a target using rules similar to golf.","Not specified","All ages","1-2 hours","Discs (Frisbees); Targets or baskets","Complete the course in the fewest number of throws.","Precision; Strategy; Coordination","5 minutes","Disc golf course","Low to Moderate","Improves focus, strategic planning, and coordination","Outdoor Sports and Games"
"50","Basketball","None","Team Sport","Beginner to Professional","A game where two teams try to score points by shooting a ball through the opponent's hoop.","10","6+","48 minutes (professional games)","Basketball; Hoop","Score more points than the opposing team by shooting the ball through the hoop.","Teamwork; Coordination; Agility","5-10 minutes","Basketball court","High","Improves physical fitness, teamwork, and coordination","Outdoor Sports and Games"
"51","Volleyball","None","Team Sport","Beginner to Professional","A sport where two teams separated by a net aim to score points by grounding the ball on the opponent's court.","12","8+","60-90 minutes","Volleyball; Net","Score points by grounding the ball on the opponent's side of the court.","Teamwork; Coordination; Reflexes","10 minutes","Volleyball court","Moderate to High","Enhances teamwork, communication, and physical fitness","Outdoor Sports and Games"
"52","Baseball","None","Team Sport","Beginner to Professional","A bat-and-ball game where two teams take turns batting and fielding to score runs.","18","6+","3 hours (professional games)","Baseball; Bat; Gloves; Bases; Protective gear","Score more runs than the opposing team by hitting the ball and running around bases.","Hand-eye coordination; Teamwork; Strategy","15-20 minutes","Baseball field","Moderate","Enhances teamwork, strategic thinking, and physical fitness","Outdoor Sports and Games"
"53","Hockey","Field Hockey","Team Sport","Beginner to Professional","A team sport where players use sticks to hit a ball into the opponent's goal.","22","8+","70 minutes","Hockey sticks; Ball; Goals; Protective gear","Score more goals than the opposing team.","Hand-eye coordination; Teamwork; Agility","15 minutes","Hockey field","High","Improves physical fitness, coordination, and teamwork","Outdoor Sports and Games"
"54","Tennis","None","Racquet Sport","Beginner to Professional","A sport where players use racquets to hit a ball over a net into the opponent's court.","4","6+","1-3 hours","Tennis racquets; Tennis balls; Net","Score points by hitting the ball so the opponent cannot return it.","Agility; Strategy; Coordination","10 minutes","Tennis court","High","Improves physical fitness, coordination, and strategic thinking","Outdoor Sports and Games"
"55","Squash","None","Racquet Sport","Beginner to Advanced","A sport where players alternately hit a small rubber ball against a wall in a four-walled court.","2","8+","40-60 minutes","Squash racquets; Squash ball; Protective eyewear","Score points by making the ball impossible for the opponent to return.","Agility; Speed; Strategy","5 minutes","Squash court","High","Improves cardiovascular fitness, agility, and strategic thinking","Outdoor Sports and Games"
"56","Table Tennis","Ping Pong","Racquet Sport","Beginner to Advanced","A sport where players hit a lightweight ball back and forth across a table using small bats.","4","6+","15-30 minutes","Table tennis table; Paddles; Balls; Net","Score points by hitting the ball so the opponent cannot return it.","Reflexes; Hand-eye coordination; Strategy","5 minutes","Table tennis area","Moderate","Enhances reflexes, coordination, and strategic thinking","Outdoor Sports and Games"
"57","Sprinting","None","Track and Field","Beginner to Professional","Running over a short distance at the highest possible speed.","Not specified","All ages","Seconds to minutes","Running shoes; Athletic wear","Complete the set distance in the shortest time.","Speed; Explosive power; Discipline","Minimal","Running track","High","Improves cardiovascular health, speed, and discipline","Outdoor Sports and Games"
"58","Long Jump","None","Track and Field","Beginner to Professional","An event where athletes combine speed, strength, and agility to leap as far as possible from a takeoff point.","Not specified","All ages","Variable","Running shoes; Athletic wear; Sand pit","Jump the farthest distance possible from the takeoff point.","Explosive power; Coordination; Technique","Minimal","Long jump track and sand pit","High","Enhances leg strength, coordination, and technique","Outdoor Sports and Games"
"59","High Jump","None","Track and Field","Beginner to Professional","An event where athletes must jump over a horizontal bar placed at measured heights.","Not specified","All ages","Variable","Running shoes; Athletic wear; Landing mat","Clear the highest possible bar without dislodging it.","Explosive power; Technique; Flexibility","Minimal","High jump area","High","Improves leg strength, coordination, and technique","Outdoor Sports and Games"
"60","Javelin Throw","None","Track and Field","Beginner to Professional","An event where athletes throw a spear-like implement called a javelin as far as possible.","Not specified","All ages","Variable","Javelin; Athletic wear","Throw the javelin farther than competitors.","Strength; Technique; Coordination","Minimal","Throwing field","High","Enhances upper body strength, coordination, and technique","Outdoor Sports and Games"
"61","Swimming","None","Water Sport","Beginner to Professional","An individual or team sport that requires the use of one's entire body to move through water.","Not specified","All ages","Variable","Swimsuit; Goggles; Swim cap (optional)","Complete the set distance in the shortest time or perform specific strokes.","Endurance; Technique; Breathing control","Minimal","Swimming pool; Open water","High","Improves cardiovascular health, full-body strength, and endurance","Outdoor Sports and Games"
"62","Water Polo","None","Water Sport","Beginner to Professional","A team water sport that involves swimming and scoring goals by throwing a ball into the opponent's net.","14","8+","32 minutes (divided into periods)","Water polo ball; Goals; Swimwear","Score more goals than the opposing team.","Swimming skills; Teamwork; Strategy","10 minutes","Swimming pool","High","Enhances teamwork, swimming skills, and physical fitness","Outdoor Sports and Games"
"63","Surfing","None","Water Sport","Beginner to Professional","Riding ocean waves on a surfboard.","Not specified","All ages","Variable","Surfboard; Wetsuit (optional)","Ride and maneuver on waves using a surfboard.","Balance; Strength; Timing","15 minutes","Ocean with surfable waves","High","Enhances balance, physical fitness, and connection with nature","Outdoor Sports and Games"
"64","Skiing","None","Winter Sport","Beginner to Professional","Gliding over snow on skis for recreation or sport.","Not specified","All ages","Variable","Skis; Ski boots; Poles; Helmet; Ski wear","Navigate slopes or trails on skis.","Balance; Coordination; Leg strength","15 minutes","Ski resorts; Snow-covered areas","High","Improves balance, coordination, and physical fitness","Outdoor Sports and Games"
"65","Snowboarding","None","Winter Sport","Beginner to Professional","Descending a snow-covered slope on a snowboard attached to a rider's feet.","Not specified","All ages","Variable","Snowboard; Snowboard boots; Helmet; Snow wear","Navigate slopes or perform tricks on a snowboard.","Balance; Coordination; Leg strength","15 minutes","Ski resorts; Snow-covered areas","High","Enhances balance, coordination, and physical fitness","Outdoor Sports and Games"
"66","Ice Skating","None","Winter Sport","Beginner to Professional","Moving on ice using ice skates.","Not specified","All ages","Variable","Ice skates; Protective gear (optional)","Skate on ice for recreation or sport.","Balance; Coordination; Leg strength","10 minutes","Ice rink; Frozen surfaces","Moderate","Improves balance, coordination, and leg strength","Outdoor Sports and Games"
"67","Ice Hockey","None","Winter Sport","Beginner to Professional","A fast-paced team sport played on ice where players use sticks to hit a puck into the opponent's goal.","12","8+","60 minutes","Ice skates; Hockey sticks; Puck; Protective gear","Score more goals than the opposing team.","Teamwork; Speed; Strategy","15 minutes","Ice rink","High","Enhances teamwork, coordination, and physical fitness","Outdoor Sports and Games"
"68","Frisbee","Ultimate Frisbee","Team Sport","Beginner to Advanced","A non-contact team sport played with a flying disc, where teams score by catching the disc in the opposing end zone.","14","10+","60-90 minutes","Frisbee (flying disc)","Score points by catching the disc in the opposing team's end zone.","Throwing skills; Endurance; Teamwork","5-10 minutes","Open field","High","Enhances coordination, teamwork, and promotes fair play","Outdoor Sports and Games"
"69","Paintball","None","Outdoor Game","Beginner to Advanced","Players eliminate opponents by hitting them with dye-filled, breakable paintballs shot from a paintball gun.","Not specified","10+","Variable","Paintball marker (gun); Paintballs; Protective gear","Eliminate opponents or complete objectives without getting hit.","Strategy; Teamwork; Coordination","15 minutes","Paintball fields","Moderate to High","Enhances teamwork, strategic thinking, and coordination","Outdoor Sports and Games"
"70","Chess","International Chess; Western Chess","Board Game","Beginner to Grandmaster","A strategic two-player game involving tactical moves to checkmate the opponent's king.","2","6+","10 minutes to several hours","Chessboard; 32 chess pieces","Checkmate the opponent's king.","Critical thinking; Problem-solving; Concentration","Under 5 minutes","Tabletop","Low","Improves logical reasoning and strategic planning","Indoor Games"
"71","Monopoly","None","Board Game","Beginner to Intermediate","A board game where players roll dice to move around the board, buying and trading properties, and collecting rent.","8","8+","1-3 hours","Monopoly board; Tokens; Cards; Money; Dice","Become the wealthiest player through buying, renting, and selling property.","Financial literacy; Negotiation; Strategic planning","5 minutes","Tabletop","Low","Teaches basic financial concepts and strategic decision-making","Indoor Games"
"72","Scrabble","None","Word Game","Beginner to Advanced","A word game where players score points by placing tiles bearing a single letter onto a game board.","4","10+","50 minutes","Scrabble board; Letter tiles; Tile racks","Score the most points by creating words on the board.","Vocabulary; Spelling; Strategic placement","5 minutes","Tabletop","Low","Enhances vocabulary and spelling skills","Indoor Games"
"73","Jenga","None","Dexterity Game","Beginner","A game of physical skill where players remove blocks from a tower and place them on top without causing it to collapse.","8","6+","15-30 minutes","Jenga block set","Be the last player to successfully remove and place a block without toppling the tower.","Fine motor skills; Patience; Concentration","2 minutes","Tabletop","Low","Develops fine motor skills and hand-eye coordination","Indoor Games"
"74","Ping Pong","Table Tennis","Racquet Sport","Beginner to Advanced","A sport where players hit a lightweight ball back and forth across a table using small paddles.","4","6+","15-30 minutes","Table tennis table; Paddles; Balls; Net","Score points by hitting the ball so the opponent cannot return it.","Reflexes; Hand-eye coordination; Strategy","5 minutes","Recreational room","Moderate","Enhances reflexes and coordination","Indoor Games"
"75","Foosball","Table Soccer","Table Game","Beginner to Intermediate","A table-top game that is loosely based on soccer, where players manipulate rods to control figures on the table.","4","6+","10-30 minutes","Foosball table","Score more goals than the opponent by manipulating figures to hit the ball into the goal.","Hand-eye coordination; Reflexes; Strategy","2 minutes","Game room","Low","Improves coordination and strategic thinking","Indoor Games"
"76","Charades","None","Party Game","Beginner","A word guessing game where one player acts out a word or phrase, and others guess what it is.","Unlimited","8+","Variable","None or prepared phrases on cards","Guess the word or phrase being acted out without speaking.","Non-verbal communication; Creativity; Teamwork","5 minutes","Living room or open space","Low","Enhances creativity and interpretive skills","Indoor Games"
"77","Pictionary","None","Drawing Game","Beginner","A game where players try to guess a word or phrase from a teammate's drawings.","Unlimited","8+","Variable","Drawing pad; Pencils; Timer; Word cards","Be the first team to guess the word or phrase being drawn.","Creativity; Visual communication; Teamwork","5 minutes","Tabletop","Low","Encourages creative thinking and visual expression","Indoor Games"
"78","Clue","Cluedo","Board Game","Beginner to Intermediate","A mystery game where players move around a mansion to solve a murder by deducing the correct suspect, weapon, and room.","6","8+","45-60 minutes","Clue board; Cards; Tokens; Notepad; Dice","Be the first to correctly identify the murderer, weapon, and location.","Deductive reasoning; Memory; Strategy","5 minutes","Tabletop","Low","Improves logical thinking and deductive skills","Indoor Games"
"79","Dominoes","None","Tile Game","Beginner","A game where players match tiles with the same number of dots to win points or empty their hand.","4","6+","Variable","Set of domino tiles","Be the first to play all your tiles or score the most points.","Numeracy; Strategy; Pattern recognition","2 minutes","Tabletop","Low","Enhances counting skills and strategic planning","Indoor Games"
"80","Billiards","Pool","Cue Sport","Beginner to Advanced","A game where players use a cue stick to strike balls on a table into pockets.","4","10+","Variable","Billiard table; Cue sticks; Billiard balls; Chalk","Score points by pocketing balls in a specific order or pattern.","Hand-eye coordination; Precision; Strategy","5 minutes","Game room","Moderate","Improves focus, coordination, and strategic thinking","Indoor Games"
"81","Darts","None","Target Game","Beginner to Advanced","Players throw small missiles at a circular target (dartboard) to score points.","8","10+","Variable","Dartboard; Darts","Reduce your score to zero by hitting specific targets on the board.","Precision; Hand-eye coordination; Mathematics","5 minutes","Game room; Pub","Low","Enhances math skills and precision","Indoor Games"
"82","Air Hockey","None","Table Game","Beginner to Intermediate","A game where two players use handheld paddles to hit a puck across a low-friction table into the opponent's goal.","2","6+","10-20 minutes","Air hockey table; Pucks; Paddles","Score more goals than the opponent.","Reflexes; Hand-eye coordination; Strategy","2 minutes","Arcade; Game room","Moderate","Improves reflexes and strategic thinking","Indoor Games"
